     ,activation_hidden ,activation_out ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
   0 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0001 ,False
   1 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
   2 ,logistic          ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,True
   3 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
   4 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
   5 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0005 ,False
   6 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
   7 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
   8 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,True
   9 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
  10 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0001 ,False
  11 ,logistic          ,identity       ,  0.0 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,False
  12 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0001 ,False
  13 ,tanh              ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
  14 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
  15 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
  16 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0001 ,False
  17 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
  18 ,tanh              ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
  19 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
  20 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0001 ,False
  21 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0001 ,False
  22 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
  23 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
  24 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
  25 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
  26 ,logistic          ,identity       ,  0.0 ,      64.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.1    ,False
  27 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
  28 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
  29 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.1    ,False
  30 ,tanh              ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0001 ,False
  31 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,True
  32 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
  33 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
  34 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
  35 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
  36 ,tanh              ,identity       ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
  37 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,True
  38 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
  39 ,logistic          ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,True
  40 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0001 ,False
  41 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,True
  42 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,True
  43 ,logistic          ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,True
  44 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
  45 ,logistic          ,identity       ,  0.5 ,      64.0 ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,True
  46 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
  47 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0001 ,False
  48 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0005 ,False
  49 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
  50 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
