     ,activation_hidden ,val_MEE_mean_rank ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
   0 ,tanh              ,              797 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
   1 ,tanh              ,              529 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
   2 ,tanh              ,              681 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
   3 ,tanh              ,              904 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
   4 ,tanh              ,              737 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,False
   5 ,tanh              ,              675 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
   6 ,tanh              ,              825 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
   7 ,tanh              ,              591 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
   8 ,tanh              ,             1462 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
   9 ,tanh              ,              942 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
  10 ,tanh              ,              755 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.001  ,False
  11 ,tanh              ,             1457 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
  12 ,tanh              ,              926 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
  13 ,tanh              ,              720 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
  14 ,tanh              ,              688 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
  15 ,tanh              ,             1092 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.0005 ,False
  16 ,tanh              ,              921 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,False
  17 ,tanh              ,              555 ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
  18 ,tanh              ,              742 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
  19 ,tanh              ,              567 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
  20 ,tanh              ,             1584 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
  21 ,tanh              ,              813 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
  22 ,tanh              ,              693 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,False
  23 ,tanh              ,             1583 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
  24 ,tanh              ,              763 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
  25 ,tanh              ,              580 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
  26 ,tanh              ,             1579 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.1    ,False
  27 ,tanh              ,              868 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
  28 ,tanh              ,              696 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,False
  29 ,tanh              ,             1577 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
  30 ,tanh              ,              852 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
  31 ,tanh              ,              711 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
  32 ,tanh              ,             1578 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
  33 ,tanh              ,              968 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.0005 ,False
  34 ,tanh              ,              842 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.001  ,False
  35 ,tanh              ,             1585 ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
  36 ,tanh              ,              824 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0005 ,False
  37 ,tanh              ,              462 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
  38 ,tanh              ,             1467 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.1    ,False
  39 ,tanh              ,              927 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.0005 ,False
  40 ,tanh              ,              655 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,False
  41 ,tanh              ,             1573 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
  42 ,tanh              ,              793 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
  43 ,tanh              ,              513 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
  44 ,tanh              ,             1447 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,False
  45 ,tanh              ,              983 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.0005 ,False
  46 ,tanh              ,              787 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,False
  47 ,tanh              ,             1532 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,False
  48 ,tanh              ,              936 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
  49 ,tanh              ,              727 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
  50 ,tanh              ,             1501 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
  51 ,tanh              ,             1113 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.0005 ,False
  52 ,tanh              ,              952 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.001  ,False
  53 ,tanh              ,             1443 ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
  54 ,tanh              ,             1365 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
  55 ,tanh              ,             1200 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
  56 ,tanh              ,              639 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
  57 ,tanh              ,             1434 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
  58 ,tanh              ,             1328 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,False
  59 ,tanh              ,              861 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
  60 ,tanh              ,             1369 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
  61 ,tanh              ,             1174 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
  62 ,tanh              ,              821 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
  63 ,tanh              ,             1432 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
  64 ,tanh              ,             1350 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.001  ,False
  65 ,tanh              ,              677 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
  66 ,tanh              ,             1403 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
  67 ,tanh              ,             1301 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
  68 ,tanh              ,              704 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
  69 ,tanh              ,             1439 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.0005 ,False
  70 ,tanh              ,             1404 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,False
  71 ,tanh              ,              803 ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
  72 ,tanh              ,             1196 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
  73 ,tanh              ,             1048 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
  74 ,tanh              ,             1516 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
  75 ,tanh              ,             1409 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
  76 ,tanh              ,             1185 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,False
  77 ,tanh              ,             1525 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
  78 ,tanh              ,             1219 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
  79 ,tanh              ,             1064 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
  80 ,tanh              ,             1531 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.1    ,False
  81 ,tanh              ,             1414 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
  82 ,tanh              ,             1205 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,False
  83 ,tanh              ,             1515 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
  84 ,tanh              ,             1326 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
  85 ,tanh              ,             1211 ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
