     ,activation_hidden ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
   0 ,logistic          ,  0.8 ,       1   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0001 ,False
   1 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
   2 ,logistic          ,  0.5 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,True
   3 ,logistic          ,  0.8 ,       1   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
   4 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
   5 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0005 ,False
   6 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
   7 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
   8 ,logistic          ,  0.5 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,True
   9 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
  10 ,tanh              ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0001 ,False
  11 ,logistic          ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,False
  12 ,tanh              ,  0.8 ,       1   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0001 ,False
  13 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
  14 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
  15 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
  16 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0001 ,False
  17 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
  18 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
  19 ,tanh              ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
  20 ,tanh              ,  0.8 ,       1   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0001 ,False
  21 ,tanh              ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0001 ,False
  22 ,tanh              ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
  23 ,tanh              ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
  24 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
  25 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
  26 ,logistic          ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.1    ,False
  27 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
  28 ,logistic          ,  0.0 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
  29 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.1    ,False
  30 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0001 ,False
  31 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,True
  32 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
  33 ,logistic          ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
  34 ,logistic          ,  0.0 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
  35 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
