,alpha,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov
0,0.75,"[60, 30]",0.0001,linear_decay,0.06,False
1,0.8,"[60, 30]",0.0005,linear_decay,0.06,False
2,0.85,"[60, 30]",0.0001,linear_decay,0.05,False
3,0.8,"[60, 30]",0.00025,linear_decay,0.06,False
4,0.7,"[30, 30, 30]",0.0001,linear_decay,0.06,False
5,0.8,"[60, 30]",0.0005,linear_decay,0.08,True
6,0.85,"[60, 30]",0.0005,linear_decay,0.06,False
7,0.65,"[60, 30]",0.00025,linear_decay,0.12,False
8,0.85,"[60, 30]",0.00025,linear_decay,0.05,False
9,0.9,"[60, 30]",0.00025,fixed,0.008,True
10,0.8,"[60, 30]",0.001,linear_decay,0.08,True
11,0.85,"[30, 30, 30]",0.00025,linear_decay,0.04,False
12,0.7,"[60, 30]",0.0001,linear_decay,0.06,False
13,0.65,"[60, 30]",0.0005,linear_decay,0.12,False
14,0.85,"[60, 30]",0.0001,linear_decay,0.06,False
15,0.6,"[30, 30, 30]",0.0001,linear_decay,0.12,True
16,0.85,"[60, 30]",0.00025,linear_decay,0.04,False
17,0.8,"[30, 30, 30]",0.0001,fixed,0.008,False
18,0.6,"[30, 30, 30]",0.0001,linear_decay,0.08,True
19,0.7,"[60, 30]",0.00025,linear_decay,0.08,False
20,0.75,"[60, 30]",0.0005,linear_decay,0.08,False
21,0.75,"[60, 30]",0.001,linear_decay,0.12,False
22,0.8,"[60, 30]",0.0001,linear_decay,0.06,False
23,0.75,"[60, 30]",0.00025,linear_decay,0.08,False
24,0.85,"[60, 30]",0.0001,linear_decay,0.04,True
25,0.7,"[60, 30]",0.0005,linear_decay,0.08,False
26,0.65,"[30, 30, 30]",0.00025,linear_decay,0.08,True
27,0.9,"[60, 30]",0.0001,fixed,0.006,True
28,0.85,"[30, 30, 30]",0.0001,linear_decay,0.05,False
29,0.75,"[60, 30]",0.001,linear_decay,0.08,True
30,0.85,"[60, 30]",0.0005,linear_decay,0.05,False
31,0.7,"[30, 30, 30]",0.0001,linear_decay,0.12,False
32,0.8,"[30, 30, 30]",0.001,linear_decay,0.1,False
33,0.65,"[60, 30]",0.00025,linear_decay,0.08,False
34,0.7,"[60, 30]",0.0005,linear_decay,0.1,True
35,0.75,"[30, 30, 30]",0.0001,linear_decay,0.08,False
36,0.75,"[30, 30, 30]",0.0005,linear_decay,0.06,False
37,0.85,"[60, 30]",0.0001,linear_decay,0.04,False
38,0.85,"[30, 30, 30]",0.00025,linear_decay,0.04,True
39,0.7,"[60, 30]",0.00025,linear_decay,0.12,False
40,0.85,"[60, 30]",0.0005,linear_decay,0.06,True
41,0.65,"[60, 30]",0.0001,linear_decay,0.1,False
42,0.75,"[60, 30]",0.0001,linear_decay,0.04,False
43,0.7,"[30, 30, 30]",0.00025,linear_decay,0.12,False
44,0.6,"[60, 30]",0.0001,linear_decay,0.08,False
45,0.75,"[30, 30, 30]",0.00025,linear_decay,0.06,True
46,0.85,"[60, 30]",0.001,linear_decay,0.08,False
47,0.8,"[60, 30]",0.0001,linear_decay,0.04,False
48,0.85,"[60, 30]",0.0005,linear_decay,0.04,False
49,0.75,"[60, 30]",0.0005,linear_decay,0.06,False
50,0.8,"[60, 30]",0.0005,linear_decay,0.05,False
51,0.85,"[30, 30, 30]",0.0005,linear_decay,0.06,False
52,0.8,"[60, 30]",0.00025,linear_decay,0.05,True
53,0.8,"[30, 30, 30]",0.00025,linear_decay,0.04,True
54,0.65,"[30, 30, 30]",0.00025,linear_decay,0.1,False
55,0.7,"[30, 30, 30]",0.00025,linear_decay,0.08,True
56,0.7,"[30, 30, 30]",0.00025,linear_decay,0.05,False
57,0.85,"[60, 30]",0.001,linear_decay,0.05,True
58,0.6,"[60, 30]",0.00025,linear_decay,0.1,False
59,0.9,"[60, 30]",0.0001,fixed,0.008,True
60,0.75,"[60, 30]",0.0005,linear_decay,0.12,False
61,0.8,"[30, 30, 30]",0.00025,linear_decay,0.06,True
62,0.8,"[60, 30]",0.00025,linear_decay,0.08,False
63,0.8,"[30, 30, 30]",0.00025,linear_decay,0.06,False
64,0.75,"[60, 30]",0.00025,linear_decay,0.06,True
65,0.75,"[30, 30, 30]",0.00025,linear_decay,0.05,True
66,0.6,"[30, 30, 30]",0.00025,linear_decay,0.06,True
67,0.8,"[30, 30, 30]",0.00025,linear_decay,0.04,False
68,0.7,"[60, 30]",0.0001,linear_decay,0.08,False
69,0.65,"[60, 30]",0.00025,linear_decay,0.06,True
70,0.9,"[60, 30]",5e-05,fixed,0.008,False
71,0.85,"[60, 30]",0.00025,linear_decay,0.06,False
72,0.7,"[60, 30]",0.0001,linear_decay,0.1,False
73,0.85,"[30, 30, 30]",0.0005,linear_decay,0.06,True
74,0.85,"[60, 30]",0.0005,linear_decay,0.05,True
75,0.8,"[30, 30, 30]",0.0005,linear_decay,0.05,True
76,0.9,"[60, 30]",5e-05,fixed,0.006,True
77,0.85,"[60, 30]",0.0005,linear_decay,0.08,False
78,0.6,"[60, 30]",0.0001,linear_decay,0.08,True
79,0.7,"[60, 30]",0.00025,linear_decay,0.06,False
80,0.6,"[30, 30, 30]",0.0005,linear_decay,0.1,True
81,0.85,"[30, 30, 30]",0.0005,linear_decay,0.05,False
82,0.7,"[30, 30, 30]",0.00025,linear_decay,0.05,True
83,0.6,"[60, 30]",0.001,linear_decay,0.1,False
84,0.65,"[30, 30, 30]",0.0005,linear_decay,0.08,True
85,0.6,"[30, 30, 30]",0.00025,linear_decay,0.08,True
86,0.65,"[30, 30, 30]",0.0001,linear_decay,0.05,True
87,0.65,"[30, 30, 30]",0.0001,linear_decay,0.1,True
88,0.75,"[60, 30]",0.0001,linear_decay,0.06,True
89,0.65,"[60, 30]",0.00025,linear_decay,0.08,True
90,0.8,"[30, 30, 30]",0.00025,linear_decay,0.05,True
91,0.65,"[60, 30]",0.0005,linear_decay,0.1,True
92,0.7,"[30, 30, 30]",0.0005,linear_decay,0.1,False
93,0.8,"[60, 30]",0.0001,linear_decay,0.05,True
94,0.85,"[60, 30]",5e-05,fixed,0.008,False
95,0.85,"[60, 30]",0.001,linear_decay,0.06,True
96,0.9,"[30, 30, 30]",5e-05,fixed,0.006,False
97,0.8,"[60, 30]",0.0005,linear_decay,0.12,False
98,0.75,"[60, 30]",0.0001,linear_decay,0.08,True
99,0.6,"[60, 30]",0.0001,linear_decay,0.12,False
100,0.8,"[60, 30]",0.0005,linear_decay,0.1,False
101,0.8,"[60, 30]",0.001,linear_decay,0.08,False
102,0.7,"[30, 30, 30]",0.0005,linear_decay,0.08,False
103,0.6,"[60, 30]",0.00025,linear_decay,0.1,True
104,0.6,"[60, 30]",0.00025,linear_decay,0.08,False
105,0.6,"[30, 30, 30]",0.0005,linear_decay,0.12,False
106,0.8,"[30, 30, 30]",0.0001,linear_decay,0.06,False
107,0.75,"[30, 30, 30]",0.0005,linear_decay,0.12,False
108,0.75,"[30, 30, 30]",0.00025,linear_decay,0.1,False
109,0.75,"[30, 30, 30]",0.00025,linear_decay,0.04,False
110,0.65,"[30, 30, 30]",0.0005,linear_decay,0.06,True
111,0.8,"[30, 30, 30]",0.0005,linear_decay,0.06,True
112,0.85,"[30, 30, 30]",0.00025,fixed,0.008,False
113,0.65,"[30, 30, 30]",0.0005,linear_decay,0.08,False
114,0.6,"[30, 30, 30]",0.00025,linear_decay,0.1,True
115,0.75,"[60, 30]",0.0005,linear_decay,0.08,True
116,0.7,"[60, 30]",0.001,linear_decay,0.1,False
117,0.75,"[60, 30]",0.0005,linear_decay,0.1,False
118,0.75,"[60, 30]",0.00025,linear_decay,0.12,False
119,0.8,"[60, 30]",0.0005,linear_decay,0.04,False
120,0.9,"[60, 30]",0.00025,fixed,0.01,False
121,0.6,"[60, 30]",0.0001,linear_decay,0.1,True
122,0.6,"[60, 30]",0.00025,linear_decay,0.12,False
123,0.7,"[30, 30, 30]",0.00025,linear_decay,0.08,False
124,0.6,"[30, 30, 30]",0.0005,linear_decay,0.08,True
125,0.75,"[30, 30, 30]",0.00025,linear_decay,0.06,False
126,0.8,"[60, 30]",0.00025,linear_decay,0.05,False
127,0.65,"[30, 30, 30]",0.0001,linear_decay,0.06,False
128,0.7,"[30, 30, 30]",0.00025,linear_decay,0.04,False
129,0.6,"[30, 30, 30]",0.0005,linear_decay,0.12,True
130,0.7,"[30, 30, 30]",0.0001,linear_decay,0.04,False
131,0.75,"[30, 30, 30]",0.00025,linear_decay,0.12,False
132,0.85,"[30, 30, 30]",0.0005,linear_decay,0.05,True
133,0.6,"[30, 30, 30]",0.0001,linear_decay,0.12,False
134,0.9,"[60, 30]",5e-05,fixed,0.006,False
135,0.75,"[60, 30]",0.00025,linear_decay,0.05,True
136,0.7,"[60, 30]",0.0001,linear_decay,0.12,False
137,0.8,"[60, 30]",0.001,linear_decay,0.06,True
138,0.8,"[60, 30]",0.0005,linear_decay,0.06,True
139,0.9,"[30, 30, 30]",0.0001,fixed,0.004,False
140,0.75,"[60, 30]",0.00025,linear_decay,0.04,False
141,0.65,"[60, 30]",0.0001,linear_decay,0.08,False
142,0.8,"[30, 30, 30]",0.00025,linear_decay,0.1,False
143,0.75,"[30, 30, 30]",0.00025,linear_decay,0.1,True
144,0.75,"[30, 30, 30]",0.0005,linear_decay,0.05,False
145,0.7,"[30, 30, 30]",0.0001,linear_decay,0.1,False
146,0.85,"[30, 30, 30]",0.00025,linear_decay,0.05,True
147,0.85,"[60, 30]",0.00025,linear_decay,0.05,True
148,0.7,"[30, 30, 30]",0.001,linear_decay,0.08,True
149,0.85,"[30, 30, 30]",0.001,linear_decay,0.06,True
150,0.7,"[30, 30, 30]",0.0001,linear_decay,0.05,False
151,0.6,"[30, 30, 30]",0.00025,linear_decay,0.1,False
152,0.8,"[30, 30, 30]",0.0005,linear_decay,0.06,False
153,0.7,"[60, 30]",0.0005,linear_decay,0.08,True
154,0.85,"[30, 30, 30]",0.00025,linear_decay,0.05,False
155,0.85,"[60, 30]",0.001,linear_decay,0.05,False
156,0.7,"[60, 30]",0.0001,linear_decay,0.05,False
157,0.6,"[60, 30]",0.0005,linear_decay,0.12,False
158,0.7,"[30, 30, 30]",0.0005,linear_decay,0.12,False
159,0.7,"[30, 30, 30]",0.00025,linear_decay,0.06,False
160,0.75,"[60, 30]",0.0001,linear_decay,0.1,False
161,0.65,"[60, 30]",0.0001,linear_decay,0.08,True
162,0.85,"[60, 30]",0.00025,linear_decay,0.08,False
163,0.8,"[60, 30]",0.0001,linear_decay,0.05,False
164,0.6,"[60, 30]",0.0001,linear_decay,0.1,False
165,0.75,"[30, 30, 30]",0.0005,linear_decay,0.1,False
166,0.85,"[60, 30]",0.00025,linear_decay,0.06,True
167,0.6,"[30, 30, 30]",0.00025,linear_decay,0.08,False
168,0.75,"[60, 30]",0.00025,linear_decay,0.05,False
169,0.7,"[60, 30]",0.00025,linear_decay,0.06,True
170,0.9,"[60, 30]",5e-05,fixed,0.01,False
171,0.75,"[30, 30, 30]",0.0005,linear_decay,0.04,False
172,0.85,"[30, 30, 30]",0.00025,fixed,0.008,True
173,0.7,"[60, 30]",0.0001,linear_decay,0.06,True
174,0.75,"[60, 30]",0.001,linear_decay,0.08,False
175,0.85,"[60, 30]",0.0001,fixed,0.008,False
176,0.85,"[60, 30]",0.001,linear_decay,0.06,False
177,0.7,"[60, 30]",0.0001,linear_decay,0.08,True
178,0.6,"[60, 30]",0.00025,linear_decay,0.06,False
179,0.75,"[30, 30, 30]",0.0001,linear_decay,0.06,True
180,0.85,"[60, 30]",5e-05,fixed,0.01,False
181,0.75,"[30, 30, 30]",0.0005,linear_decay,0.08,False
182,0.8,"[60, 30]",0.001,linear_decay,0.05,False
183,0.75,"[30, 30, 30]",0.0005,linear_decay,0.08,True
184,0.6,"[30, 30, 30]",0.00025,linear_decay,0.05,True
185,0.75,"[60, 30]",0.0005,linear_decay,0.05,False
186,0.7,"[30, 30, 30]",0.0005,linear_decay,0.05,True
187,0.65,"[60, 30]",0.0001,linear_decay,0.06,True
188,0.8,"[30, 30, 30]",0.0001,fixed,0.01,False
