    ,mean_accuracy_rank ,mean_accuracy      ,mean_val_loss_rank ,mean_val_loss      ,mean_train_score_rank ,mean_train_score   ,mean_train_loss_rank ,mean_train_loss      ,trial0_val_score   ,trial0_val_loss    ,trial0_accuracy    ,trial0_train_score ,trial0_train_loss     ,trial0_best_epoch ,trial1_val_score   ,trial1_val_loss    ,trial1_accuracy    ,trial1_train_score ,trial1_train_loss     ,trial1_best_epoch ,trial2_val_score   ,trial2_val_loss    ,trial2_accuracy    ,trial2_train_score ,trial2_train_loss     ,trial2_best_epoch ,trial3_val_score   ,trial3_val_loss    ,trial3_accuracy    ,trial3_train_score ,trial3_train_loss  ,trial3_best_epoch ,trial4_val_score   ,trial4_val_loss    ,trial4_accuracy    ,trial4_train_score ,trial4_train_loss     ,trial4_best_epoch ,params
  0 ,                 1 ,1.0                ,                 7 ,0.008403219591231  ,                   95 ,1.0                ,                  10 ,0.003110020259801    ,1.0                ,0.0031888988343866 ,1.0                ,1.0                ,0.0023454805587124    ,              399 ,1.0                ,0.0053877443136894 ,1.0                ,1.0                ,0.00232678438971      ,              399 ,1.0                ,0.0130807754251728 ,1.0                ,1.0                ,0.0023009689926433    ,              399 ,1.0                ,0.0108973823458152 ,1.0                ,1.0                ,0.0026412812672667 ,              399 ,1.0                ,0.0094612970370909 ,1.0                ,1.0                ,0.0059355860906729    ,              399 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""tanh"", ""alpha"": 0.9, ""batch_size"": 32, ""classification"": true, ""early_stopping"": false, ""epochs"": 400, ""evaluation_metric"": ""accuracy"", ""hidden_layer_sizes"": [3], ""lambd"": 0, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.05, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-06, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_criteria_on_loss"": true, ""stopping_patience"": 30, ""tol"": 1e-06, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
  1 ,                 1 ,1.0                ,                 2 ,0.0005150715019826 ,                   95 ,1.0                ,                   1 ,9.78069392691508e-05 ,1.0                ,0.0001645917839704 ,1.0                ,1.0                ,0.0001006101194086    ,              191 ,1.0                ,0.0001576294401818 ,1.0                ,1.0                ,9.710535019534836e-05 ,              184 ,1.0                ,0.0001482399447685 ,1.0                ,1.0                ,9.1714221484447e-05   ,              131 ,1.0                ,0.0019389924096545 ,1.0                ,1.0                ,0.0001009723335555 ,              147 ,1.0                ,0.0001659039313379 ,1.0                ,1.0                ,9.863267170178092e-05 ,              176 ,"{""activation_hidden"": ""tanh"", ""activation_out"": ""tanh"", ""alpha"": 0.9, ""batch_size"": 1, ""classification"": true, ""early_stopping"": false, ""epochs"": 400, ""evaluation_metric"": ""accuracy"", ""hidden_layer_sizes"": [3], ""lambd"": 0, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.01, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-06, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_criteria_on_loss"": true, ""stopping_patience"": 30, ""tol"": 1e-06, ""verbose"": false, ""weights_bound"": 0.7, ""weights_dist"": ""uniform""}"
  2 ,                 1 ,1.0                ,                 1 ,0.0003721683787165 ,                   95 ,1.0                ,                   3 ,0.0001594814845708   ,1.0                ,0.000312555973359  ,1.0                ,1.0                ,0.0001624912732502    ,              246 ,1.0                ,0.000390744113102  ,1.0                ,1.0                ,0.000164002776659     ,              252 ,1.0                ,0.0002173764283497 ,1.0                ,1.0                ,0.0001546164866916    ,              246 ,1.0                ,0.0006998381908598 ,1.0                ,1.0                ,0.0001643638087161 ,              264 ,1.0                ,0.0002403271879118 ,1.0                ,1.0                ,0.0001519330775373    ,              252 ,"{""activation_hidden"": ""tanh"", ""activation_out"": ""tanh"", ""alpha"": 0.9, ""batch_size"": 1, ""classification"": true, ""early_stopping"": false, ""epochs"": 400, ""evaluation_metric"": ""accuracy"", ""hidden_layer_sizes"": [3], ""lambd"": 0, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.005, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-06, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_criteria_on_loss"": true, ""stopping_patience"": 30, ""tol"": 1e-06, ""verbose"": false, ""weights_bound"": 0.7, ""weights_dist"": ""uniform""}"
  3 ,                 1 ,1.0                ,                 3 ,0.000627138267705  ,                   95 ,1.0                ,                   5 ,0.0004222926140332   ,1.0                ,0.0005648049088783 ,1.0                ,1.0                ,0.0003605781723519    ,              399 ,1.0                ,0.0006273085159381 ,1.0                ,1.0                ,0.0003276968945211    ,              399 ,1.0                ,0.0011140356928292 ,1.0                ,1.0                ,0.0008009564095399    ,              399 ,1.0                ,0.0003998172028298 ,1.0                ,1.0                ,0.0003056993815468 ,              399 ,1.0                ,0.0004297250180495 ,1.0                ,1.0                ,0.0003165322122064    ,              399 ,"{""activation_hidden"": ""tanh"", ""activation_out"": ""tanh"", ""alpha"": 0.9, ""batch_size"": 32, ""classification"": true, ""early_stopping"": false, ""epochs"": 400, ""evaluation_metric"": ""accuracy"", ""hidden_layer_sizes"": [3], ""lambd"": 0, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.05, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-06, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_criteria_on_loss"": true, ""stopping_patience"": 30, ""tol"": 1e-06, ""verbose"": false, ""weights_bound"": 0.7, ""weights_dist"": ""uniform""}"
  4 ,                 1 ,1.0                ,                 6 ,0.0063516306680802 ,                   95 ,1.0                ,                   9 ,0.0023680798964933   ,1.0                ,0.0043568380011897 ,1.0                ,1.0                ,0.0018408990303603    ,              399 ,1.0                ,0.0036764224567877 ,1.0                ,1.0                ,0.0019204538668341    ,              399 ,1.0                ,0.0047171958020463 ,1.0                ,1.0                ,0.00373109160834      ,              399 ,1.0                ,0.0038049101300154 ,1.0                ,1.0                ,0.0019241699060044 ,              399 ,1.0                ,0.0152027869503617 ,1.0                ,1.0                ,0.0024237850709279    ,              399 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""tanh"", ""alpha"": 0.9, ""batch_size"": 32, ""classification"": true, ""early_stopping"": false, ""epochs"": 400, ""evaluation_metric"": ""accuracy"", ""hidden_layer_sizes"": [3], ""lambd"": 0, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.05, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-06, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_criteria_on_loss"": true, ""stopping_patience"": 30, ""tol"": 1e-06, ""verbose"": false, ""weights_bound"": 0.7, ""weights_dist"": ""uniform""}"
  5 ,                 1 ,1.0                ,                 5 ,0.0022023608150068 ,                   95 ,1.0                ,                   6 ,0.0004360616968384   ,1.0                ,0.0080223493947604 ,1.0                ,1.0                ,0.0004641762728052    ,              399 ,1.0                ,0.0008667596280135 ,1.0                ,1.0                ,0.0004272113472777    ,              399 ,1.0                ,0.0006314772672889 ,1.0                ,1.0                ,0.0004548378122272    ,              399 ,1.0                ,0.0006163641428744 ,1.0                ,1.0                ,0.0004091362541999 ,              399 ,1.0                ,0.0008748536420968 ,1.0                ,1.0                ,0.0004249467976821    ,              399 ,"{""activation_hidden"": ""tanh"", ""activation_out"": ""tanh"", ""alpha"": 0.9, ""batch_size"": 8, ""classification"": true, ""early_stopping"": false, ""epochs"": 400, ""evaluation_metric"": ""accuracy"", ""hidden_layer_sizes"": [3], ""lambd"": 0, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.01, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-06, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_criteria_on_loss"": true, ""stopping_patience"": 30, ""tol"": 1e-06, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
  6 ,                 2 ,0.999537037037037  ,                 4 ,0.0014219076851961 ,                   95 ,1.0                ,                   2 ,0.0001463795765988   ,1.0                ,0.0010379573653712 ,1.0                ,1.0                ,0.0001405639967141    ,              219 ,1.0                ,0.0004024652316549 ,1.0                ,1.0                ,0.0001222412604805    ,              231 ,0.9976851851851852 ,0.0048451891411601 ,0.9976851851851852 ,1.0                ,0.0001902893684782    ,              337 ,1.0                ,0.0005470885167236 ,1.0                ,1.0                ,0.0001432613775524 ,              211 ,1.0                ,0.0002768381710706 ,1.0                ,1.0                ,0.0001355418797685    ,              242 ,"{""activation_hidden"": ""tanh"", ""activation_out"": ""tanh"", ""alpha"": 0.9, ""batch_size"": 8, ""classification"": true, ""early_stopping"": false, ""epochs"": 400, ""evaluation_metric"": ""accuracy"", ""hidden_layer_sizes"": [3], ""lambd"": 0, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.05, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-06, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_criteria_on_loss"": true, ""stopping_patience"": 30, ""tol"": 1e-06, ""verbose"": false, ""weights_bound"": 0.7, ""weights_dist"": ""uniform""}"
  7 ,                 3 ,0.999074074074074  ,                 9 ,0.0097526098818144 ,                   95 ,1.0                ,                  12 ,0.0052782240866896   ,1.0                ,0.020972053355934  ,1.0                ,1.0                ,0.0122111356983887    ,              399 ,1.0                ,0.0042154290069591 ,1.0                ,1.0                ,0.0029526930687469    ,              399 ,0.9953703703703703 ,0.0116713472626863 ,0.9953703703703703 ,1.0                ,0.0037927668591268    ,              399 ,1.0                ,0.0062675381049762 ,1.0                ,1.0                ,0.0037071284454689 ,              399 ,1.0                ,0.0056366816785164 ,1.0                ,1.0                ,0.0037273963617167    ,              399 ,"{""activation_hidden"": ""tanh"", ""activation_out"": ""logistic"", ""alpha"": 0.9, ""batch_size"": 8, ""classification"": true, ""early_stopping"": false, ""epochs"": 400, ""evaluation_metric"": ""accuracy"", ""hidden_layer_sizes"": [3], ""lambd"": 0, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.005, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-06, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_criteria_on_loss"": true, ""stopping_patience"": 30, ""tol"": 1e-06, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
  8 ,                 4 ,0.9976851851851852 ,                 8 ,0.008746092681896  ,                   95 ,1.0                ,                   4 ,0.0003423683958444   ,0.9976851851851852 ,0.0120128187099721 ,0.9976851851851852 ,1.0                ,0.0006551581177686    ,              399 ,1.0                ,0.0043852255127018 ,1.0                ,1.0                ,0.0002332148103107    ,              399 ,0.9976851851851852 ,0.0057494549954808 ,0.9976851851851852 ,1.0                ,0.0002098247235635    ,              343 ,1.0                ,0.0006697337117479 ,1.0                ,1.0                ,0.0003679897291641 ,              399 ,0.9930555555555556 ,0.0209132304795771 ,0.9930555555555556 ,1.0                ,0.0002456545984151    ,              399 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""tanh"", ""alpha"": 0.9, ""batch_size"": 1, ""classification"": true, ""early_stopping"": false, ""epochs"": 400, ""evaluation_metric"": ""accuracy"", ""hidden_layer_sizes"": [3], ""lambd"": 0, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.01, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-06, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_criteria_on_loss"": true, ""stopping_patience"": 30, ""tol"": 1e-06, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
  9 ,                 5 ,0.997222222222222  ,                10 ,0.0099129831116899 ,                   95 ,1.0                ,                   7 ,0.0005049882423434   ,0.9930555555555556 ,0.0256986399182725 ,0.9930555555555556 ,1.0                ,0.0006016279780186    ,              399 ,1.0                ,0.0011314311303905 ,1.0                ,1.0                ,0.0004752148745125    ,              399 ,1.0                ,0.0007934457286097 ,1.0                ,1.0                ,0.0004739392113874    ,              399 ,1.0                ,0.0028831536098751 ,1.0                ,1.0                ,0.0005052490892092 ,              399 ,0.9930555555555556 ,0.0190582451713017 ,0.9930555555555556 ,1.0                ,0.0004689100585893    ,              399 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""tanh"", ""alpha"": 0.9, ""batch_size"": 1, ""classification"": true, ""early_stopping"": false, ""epochs"": 400, ""evaluation_metric"": ""accuracy"", ""hidden_layer_sizes"": [3], ""lambd"": 0, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.005, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-06, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_criteria_on_loss"": true, ""stopping_patience"": 30, ""tol"": 1e-06, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
