,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
0,logistic,tanh,1,[4],0.005,0.05,,
1,logistic,tanh,16,[4],0.01,0.01,,
2,tanh,logistic,8,[4],0.005,0.005,,
3,tanh,logistic,8,[4],0.005,0.01,,
4,tanh,logistic,32,[4],0.005,0.01,0.7,uniform
5,tanh,logistic,32,[4],0.01,0.05,0.7,uniform
6,tanh,logistic,8,[4],0.001,0.001,,
7,tanh,logistic,1,[4],0.01,0.001,,
8,logistic,tanh,1,[4],0.01,0.001,0.7,uniform
9,tanh,logistic,1,[4],0.005,0.0001,,
10,tanh,logistic,1,[4],0.005,0.001,,
11,tanh,logistic,1,[4],0.002,0.0001,,
12,logistic,tanh,8,[4],0.005,0.005,0.7,uniform
13,logistic,tanh,8,[4],0.01,0.005,0.7,uniform
14,logistic,tanh,16,[4],0.001,0.005,0.7,uniform
15,logistic,tanh,16,[4],0.002,0.005,0.7,uniform
16,logistic,tanh,16,[4],0.005,0.01,0.7,uniform
17,tanh,logistic,8,[4],0.005,0.001,,
18,logistic,tanh,16,[4],0.005,0.005,0.7,uniform
19,tanh,logistic,32,[4],0.002,0.01,0.7,uniform
20,tanh,logistic,8,[4],0.01,0.01,,
21,tanh,logistic,1,[4],0.005,0.001,0.7,uniform
22,tanh,logistic,1,[4],0.01,0.001,0.7,uniform
23,tanh,logistic,16,[4],0.005,0.005,,
24,logistic,logistic,1,[4],0.01,0.005,,
25,tanh,logistic,8,[4],0.002,0.005,0.7,uniform
26,tanh,logistic,16,[4],0.005,0.01,,
27,tanh,logistic,8,[4],0.005,0.005,0.7,uniform
28,logistic,logistic,1,[4],0.005,0.005,,
29,logistic,logistic,32,[4],0.01,0.05,,
30,tanh,logistic,8,[4],0.01,0.005,0.7,uniform
31,tanh,logistic,16,[4],0.002,0.001,,
32,tanh,logistic,16,[4],0.002,0.005,,
33,tanh,logistic,16,[4],0.002,0.01,0.7,uniform
34,tanh,logistic,16,[4],0.005,0.01,0.7,uniform
35,tanh,logistic,8,[4],0.01,0.005,,
36,tanh,logistic,16,[4],0.01,0.01,0.7,uniform
37,tanh,logistic,8,[4],0.01,0.01,0.7,uniform
38,tanh,tanh,32,[4],0.01,0.005,,
39,tanh,tanh,32,[4],0.01,0.01,,
40,logistic,tanh,16,[4],0.01,0.01,0.7,uniform
41,logistic,logistic,8,[4],0.005,0.01,0.7,uniform
42,tanh,tanh,8,[4],0.005,0.001,,
43,logistic,logistic,8,[4],0.01,0.05,0.7,uniform
44,logistic,logistic,8,[4],0.01,0.01,0.7,uniform
45,logistic,tanh,32,[4],0.01,0.01,,
46,logistic,logistic,16,[4],0.01,0.05,,
47,tanh,tanh,1,[4],0.01,0.0001,,
48,tanh,tanh,8,[4],0.01,0.001,,
49,logistic,logistic,16,[4],0.005,0.05,0.7,uniform
50,logistic,logistic,16,[4],0.01,0.05,0.7,uniform
51,logistic,logistic,16,[4],0.005,0.05,,
