    ,activation_hidden ,activation_out ,batch_size ,hidden_layer_sizes ,lambd ,learning_rate_init ,weights_bound ,weights_dist
  0 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
  1 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.1    ,              ,
  2 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
  3 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
  4 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
  5 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
  6 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
  7 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
  8 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
  9 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
 10 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
 11 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
 12 ,logistic          ,logistic       ,         4 ,[4]                ,    0 ,            0.05   ,              ,
 13 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
 14 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
 15 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
 16 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.05   ,              ,
 17 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
 18 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
 19 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.05   ,              ,
 20 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
 21 ,logistic          ,logistic       ,         4 ,[4]                ,    0 ,            0.1    ,              ,
 22 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
 23 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.05   ,              ,
 24 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
 25 ,tanh              ,logistic       ,         4 ,[4]                ,    0 ,            0.1    ,              ,
 26 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
 27 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
 28 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.1    ,              ,
 29 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.1    ,              ,
 30 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
 31 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
 32 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
 33 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.01   ,              ,
 34 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
 35 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.1    ,              ,
 36 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
 37 ,tanh              ,logistic       ,         4 ,[4]                ,    0 ,            0.1    ,              ,
 38 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.1    ,              ,
 39 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
