,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
0,tanh,tanh,8,[4],0,0.05,0.7,uniform
1,logistic,tanh,1,[4],0,0.005,0.7,uniform
2,logistic,tanh,1,[4],0,0.01,0.7,uniform
3,logistic,logistic,1,[4],0,0.05,0.7,uniform
4,logistic,tanh,1,[2],0,0.01,0.7,uniform
5,logistic,tanh,8,[4],0,0.05,0.7,uniform
6,tanh,tanh,8,[4],0,0.01,,
7,tanh,tanh,1,[4],0,0.005,,
8,logistic,tanh,16,[4],0,0.05,0.7,uniform
9,tanh,tanh,16,[4],0,0.05,0.7,uniform
10,tanh,logistic,1,[4],0,0.01,,
11,logistic,tanh,1,[4],0,0.01,,
12,tanh,logistic,1,[4],0,0.005,,
13,logistic,tanh,8,[4],0,0.05,,
14,tanh,tanh,1,[4],0,0.001,,
15,tanh,tanh,32,[4],0,0.05,,
16,tanh,logistic,8,[4],0,0.05,,
17,tanh,logistic,8,[4],0,0.05,0.7,uniform
18,tanh,tanh,16,[4],0,0.05,,
19,logistic,tanh,1,[4],0,0.05,0.7,uniform
20,tanh,logistic,16,[4],0,0.05,,
21,tanh,tanh,8,[4],0,0.05,,
22,tanh,tanh,16,[4],0,0.01,0.7,uniform
23,tanh,tanh,32,[4],0,0.01,0.7,uniform
24,logistic,logistic,1,[2],0,0.05,,
25,tanh,tanh,16,[4],0,0.01,,
26,tanh,tanh,1,[4],0,0.01,,
27,tanh,tanh,32,[4],0,0.05,0.7,uniform
28,tanh,tanh,1,[4],0,0.005,0.7,uniform
29,logistic,logistic,1,[4],0,0.05,,
30,tanh,tanh,8,[4],0,0.005,,
31,tanh,logistic,1,[4],0,0.01,0.7,uniform
32,tanh,tanh,1,[4],0,0.001,0.7,uniform
33,tanh,tanh,8,[4],0,0.005,0.7,uniform
34,tanh,tanh,1,[4],0,0.01,0.7,uniform
35,logistic,logistic,8,[4],0,0.05,0.7,uniform
36,tanh,logistic,1,[4],0,0.05,0.7,uniform
37,logistic,tanh,8,[2],0,0.05,0.7,uniform
38,logistic,logistic,1,[4],0,0.01,0.7,uniform
39,tanh,logistic,1,[4],0,0.05,,
40,tanh,tanh,8,[4],0,0.01,0.7,uniform
41,tanh,tanh,16,[2],0,0.01,0.7,uniform
42,logistic,tanh,1,[2],0,0.005,,
43,tanh,tanh,16,[4],0,0.005,,
44,tanh,logistic,8,[4],0,0.01,,
45,logistic,tanh,8,[4],0,0.01,0.7,uniform
46,tanh,logistic,1,[4],0,0.005,0.7,uniform
47,tanh,logistic,1,[2],0,0.005,,
48,logistic,tanh,1,[4],0,0.005,,
49,logistic,tanh,32,[2],0,0.05,0.7,uniform
50,logistic,tanh,16,[4],0,0.05,,
51,tanh,logistic,8,[2],0,0.05,0.7,uniform
52,logistic,tanh,16,[2],0,0.05,0.7,uniform
53,tanh,tanh,32,[4],0,0.01,,
54,logistic,tanh,1,[4],0,0.001,0.7,uniform
55,logistic,logistic,1,[2],0,0.05,0.7,uniform
56,tanh,logistic,32,[4],0,0.05,,
57,logistic,tanh,32,[4],0,0.05,0.7,uniform
58,tanh,tanh,8,[2],0,0.05,,
59,logistic,logistic,1,[2],0,0.005,0.7,uniform
60,tanh,tanh,1,[2],0,0.001,0.7,uniform
61,tanh,logistic,16,[2],0,0.05,,
62,logistic,tanh,1,[2],0,0.005,0.7,uniform
63,logistic,tanh,32,[4],0,0.05,,
64,tanh,tanh,8,[2],0,0.01,0.7,uniform
65,tanh,logistic,16,[4],0,0.05,0.7,uniform
66,tanh,tanh,8,[2],0,0.005,0.7,uniform
67,tanh,logistic,1,[4],0,0.001,,
68,tanh,tanh,1,[2],0,0.001,,
69,tanh,tanh,16,[2],0,0.05,,
70,tanh,tanh,8,[2],0,0.05,0.7,uniform
71,logistic,tanh,8,[2],0,0.01,0.7,uniform
72,tanh,tanh,32,[2],0,0.05,,
73,tanh,tanh,32,[4],0,0.005,,
74,tanh,tanh,1,[2],0,0.01,0.7,uniform
75,tanh,tanh,1,[2],0,0.005,0.7,uniform
76,tanh,tanh,16,[2],0,0.05,0.7,uniform
77,logistic,logistic,1,[2],0,0.01,0.7,uniform
78,tanh,tanh,32,[2],0,0.05,0.7,uniform
79,logistic,tanh,1,[2],0,0.01,,
80,tanh,tanh,8,[2],0,0.01,,
81,tanh,tanh,16,[4],0,0.005,0.7,uniform
82,tanh,logistic,8,[2],0,0.01,,
83,tanh,tanh,1,[2],0,0.01,,
84,logistic,logistic,8,[2],0,0.05,,
85,logistic,logistic,1,[4],0,0.01,,
86,tanh,logistic,8,[4],0,0.005,,
87,logistic,tanh,8,[4],0,0.005,0.7,uniform
88,logistic,tanh,16,[2],0,0.05,,
89,logistic,tanh,1,[2],0,0.05,,
90,tanh,logistic,1,[2],0,0.005,0.7,uniform
91,tanh,tanh,16,[2],0,0.005,,
92,tanh,tanh,16,[2],0,0.01,,
93,tanh,logistic,1,[2],0,0.05,,
94,tanh,tanh,32,[2],0,0.01,,
95,tanh,tanh,8,[2],0,0.005,,
96,tanh,logistic,1,[2],0,0.01,,
97,logistic,tanh,8,[2],0,0.05,,
98,logistic,logistic,8,[2],0,0.05,0.7,uniform
99,tanh,logistic,1,[2],0,0.05,0.7,uniform
100,tanh,logistic,16,[4],0,0.01,,
101,tanh,logistic,1,[2],0,0.01,0.7,uniform
102,tanh,logistic,1,[2],0,0.001,,
103,logistic,logistic,1,[4],0,0.005,0.7,uniform
104,tanh,logistic,32,[2],0,0.05,,
105,logistic,logistic,16,[4],0,0.05,,
106,logistic,logistic,1,[2],0,0.005,,
107,logistic,tanh,1,[2],0,0.001,0.7,uniform
108,tanh,tanh,32,[2],0,0.01,0.7,uniform
109,logistic,tanh,1,[2],0,0.05,0.7,uniform
110,logistic,tanh,32,[2],0,0.05,,
111,tanh,logistic,8,[2],0,0.05,,
112,logistic,tanh,8,[4],0,0.005,,
113,tanh,tanh,8,[4],0,0.001,,
114,tanh,tanh,16,[2],0,0.005,0.7,uniform
115,tanh,logistic,32,[4],0,0.01,,
116,tanh,logistic,16,[2],0,0.05,0.7,uniform
117,tanh,tanh,1,[2],0,0.005,,
118,tanh,tanh,32,[2],0,0.005,0.7,uniform
119,logistic,tanh,1,[4],0,0.05,,
120,logistic,logistic,8,[4],0,0.05,,
121,logistic,tanh,8,[4],0,0.01,,
122,tanh,logistic,8,[4],0,0.01,0.7,uniform
123,tanh,logistic,8,[2],0,0.005,,
124,logistic,tanh,16,[4],0,0.01,0.7,uniform
125,tanh,tanh,1,[4],0,0.0001,,
