,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
0,logistic,logistic,4,[4],0,0.005,0.1,uniform
1,logistic,logistic,1,[4],0,0.001,0.1,uniform
2,logistic,logistic,1,[4],0,0.001,0.7,uniform
3,logistic,logistic,4,[4],0,0.005,0.7,uniform
4,logistic,logistic,1,[4],0,0.0005,0.1,uniform
5,logistic,logistic,1,[4],0,0.001,0.1,
6,logistic,logistic,4,[4],0,0.01,0.1,
7,logistic,logistic,4,[4],0,0.01,0.1,uniform
8,logistic,logistic,4,[4],0,0.01,0.7,uniform
9,logistic,logistic,1,[4],0,0.005,0.7,uniform
10,logistic,logistic,1,[4],0,0.005,0.1,
11,logistic,logistic,1,[4],0,0.01,0.1,uniform
12,logistic,logistic,1,[4],0,0.01,0.1,
13,logistic,logistic,1,[4],0,0.005,0.1,uniform
14,logistic,logistic,4,[4],0,0.005,0.1,
15,logistic,logistic,1,[4],0,0.01,0.7,uniform
16,logistic,logistic,1,[4],0,0.0005,0.1,
17,logistic,logistic,1,[4],0,0.0005,0.7,uniform
18,logistic,logistic,4,[4],0,0.001,0.7,uniform
19,logistic,logistic,4,[4],0,0.001,0.1,
20,logistic,logistic,4,[4],0,0.0005,0.7,uniform
21,logistic,logistic,1,[4],0,0.0001,0.7,uniform
22,logistic,logistic,1,[4],0,0.0001,0.1,
23,logistic,logistic,4,[4],0,0.001,0.1,uniform
24,logistic,logistic,4,[4],0,0.0005,0.1,
25,logistic,logistic,4,[4],0,0.0001,0.7,uniform
26,logistic,logistic,4,[4],0,0.0001,0.1,
27,logistic,logistic,4,[4],0,0.0001,0.1,uniform
28,logistic,logistic,4,[4],0,0.0005,0.1,uniform
29,logistic,logistic,1,[4],0,0.0001,0.1,uniform
