,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
0,logistic,logistic,4,[4],0.001,0.005,0.7,uniform
1,logistic,logistic,4,[4],8e-05,0.005,0.1,uniform
2,logistic,logistic,1,[4],0.0001,0.001,0.1,uniform
3,logistic,logistic,1,[4],0.0001,0.001,0.7,uniform
4,logistic,logistic,1,[4],0.0005,0.001,0.7,uniform
5,logistic,logistic,1,[4],0.0005,0.001,0.1,uniform
6,logistic,logistic,4,[4],0.0005,0.005,0.7,uniform
7,logistic,logistic,4,[4],0.0005,0.005,0.1,uniform
8,logistic,logistic,1,[4],5e-05,0.001,0.1,uniform
9,logistic,logistic,4,[4],0.0001,0.005,0.1,uniform
10,logistic,logistic,4,[4],0.001,0.005,0.1,uniform
11,logistic,logistic,4,[4],5e-05,0.005,0.1,uniform
12,logistic,logistic,1,[4],0.001,0.001,0.7,uniform
13,logistic,logistic,1,[4],0.001,0.001,0.1,uniform
14,logistic,logistic,1,[4],8e-05,0.001,0.1,uniform
15,logistic,logistic,1,[4],8e-05,0.001,0.7,uniform
16,logistic,logistic,1,[4],5e-05,0.001,0.7,uniform
17,logistic,logistic,4,[4],5e-05,0.005,0.7,uniform
18,logistic,logistic,4,[4],8e-05,0.005,0.7,uniform
19,logistic,logistic,1,[4],0.001,0.001,0.1,
20,logistic,logistic,4,[4],0.001,0.005,0.1,
21,logistic,logistic,1,[4],0.0005,0.001,0.1,
22,logistic,logistic,1,[4],0.0005,0.0005,0.7,uniform
23,logistic,logistic,4,[4],0.0001,0.005,0.7,uniform
24,logistic,logistic,1,[4],0.001,0.005,0.7,uniform
25,logistic,logistic,4,[4],0.0005,0.005,0.1,
26,logistic,logistic,1,[4],0.001,0.005,0.1,uniform
27,logistic,logistic,1,[4],0.0001,0.001,0.1,
28,logistic,logistic,4,[4],0.001,0.01,0.1,
29,logistic,logistic,1,[4],0.0005,0.0005,0.1,uniform
30,logistic,logistic,1,[4],0.001,0.005,0.1,
31,logistic,logistic,1,[4],5e-05,0.001,0.1,
32,logistic,logistic,4,[4],0.001,0.01,0.1,uniform
33,logistic,logistic,1,[4],0.001,0.01,0.1,
34,logistic,logistic,1,[4],0.0005,0.01,0.1,
35,logistic,logistic,4,[4],0.001,0.01,0.7,uniform
36,logistic,logistic,4,[4],0.0001,0.005,0.1,
37,logistic,logistic,4,[4],0.0005,0.01,0.7,uniform
38,logistic,logistic,1,[4],0.0005,0.005,0.1,uniform
39,logistic,logistic,4,[4],0.0005,0.01,0.1,
40,logistic,logistic,1,[4],0.0005,0.005,0.7,uniform
41,logistic,logistic,4,[4],5e-05,0.01,0.7,uniform
42,logistic,logistic,4,[4],8e-05,0.005,0.1,
43,logistic,logistic,4,[4],0.0005,0.01,0.1,uniform
44,logistic,logistic,4,[4],8e-05,0.01,0.7,uniform
45,logistic,logistic,4,[4],5e-05,0.005,0.1,
46,logistic,logistic,1,[4],5e-05,0.0005,0.1,uniform
47,logistic,logistic,1,[4],0.001,0.01,0.1,uniform
48,logistic,logistic,1,[4],0.001,0.01,0.7,uniform
49,logistic,logistic,4,[4],0.0001,0.01,0.1,
50,logistic,logistic,4,[4],0.0001,0.01,0.7,uniform
51,logistic,logistic,1,[4],0.0005,0.01,0.7,uniform
52,logistic,logistic,4,[4],0.0001,0.01,0.1,uniform
53,logistic,logistic,1,[4],8e-05,0.001,0.1,
54,logistic,logistic,4,[4],5e-05,0.01,0.1,uniform
55,logistic,logistic,4,[4],8e-05,0.01,0.1,uniform
56,logistic,logistic,1,[4],0.0001,0.01,0.1,
57,logistic,logistic,1,[4],0.0005,0.005,0.1,
58,logistic,logistic,1,[4],0.0005,0.01,0.1,uniform
59,logistic,logistic,4,[4],8e-05,0.01,0.1,
60,logistic,logistic,1,[4],8e-05,0.0005,0.7,uniform
61,logistic,logistic,1,[4],0.001,0.0005,0.7,uniform
62,logistic,logistic,1,[4],0.0001,0.005,0.1,
63,logistic,logistic,1,[4],5e-05,0.0005,0.7,uniform
64,logistic,logistic,4,[4],5e-05,0.01,0.1,
65,logistic,logistic,1,[4],0.0001,0.0005,0.7,uniform
66,logistic,logistic,1,[4],5e-05,0.005,0.1,
67,logistic,logistic,1,[4],8e-05,0.005,0.1,
68,logistic,logistic,1,[4],5e-05,0.005,0.7,uniform
69,logistic,logistic,1,[4],8e-05,0.005,0.1,uniform
70,logistic,logistic,1,[4],0.0001,0.01,0.7,uniform
71,logistic,logistic,1,[4],0.0001,0.005,0.7,uniform
72,logistic,logistic,1,[4],0.0001,0.0005,0.1,uniform
73,logistic,logistic,1,[4],5e-05,0.01,0.7,uniform
74,logistic,logistic,1,[4],8e-05,0.01,0.1,uniform
75,logistic,logistic,1,[4],8e-05,0.01,0.1,
76,logistic,logistic,1,[4],5e-05,0.005,0.1,uniform
77,logistic,logistic,1,[4],5e-05,0.01,0.1,uniform
78,logistic,logistic,1,[4],8e-05,0.005,0.7,uniform
79,logistic,logistic,1,[4],0.001,0.0005,0.1,
80,logistic,logistic,1,[4],8e-05,0.01,0.7,uniform
81,logistic,logistic,1,[4],0.0001,0.005,0.1,uniform
82,logistic,logistic,1,[4],0.0001,0.0005,0.1,
83,logistic,logistic,1,[4],0.0001,0.01,0.1,uniform
84,logistic,logistic,1,[4],5e-05,0.01,0.1,
85,logistic,logistic,1,[4],8e-05,0.0005,0.1,uniform
86,logistic,logistic,1,[4],0.0005,0.0005,0.1,
87,logistic,logistic,4,[4],8e-05,0.001,0.7,uniform
88,logistic,logistic,4,[4],0.001,0.001,0.7,uniform
89,logistic,logistic,1,[4],8e-05,0.0005,0.1,
90,logistic,logistic,4,[4],0.0001,0.001,0.7,uniform
91,logistic,logistic,1,[4],0.001,0.0005,0.1,uniform
92,logistic,logistic,4,[4],5e-05,0.001,0.7,uniform
93,logistic,logistic,4,[4],0.0005,0.001,0.7,uniform
94,logistic,logistic,1,[4],5e-05,0.0005,0.1,
95,logistic,logistic,4,[4],0.0001,0.001,0.1,
96,logistic,logistic,4,[4],0.001,0.001,0.1,
97,logistic,logistic,4,[4],0.0005,0.001,0.1,
98,logistic,logistic,4,[4],8e-05,0.001,0.1,
99,logistic,logistic,4,[4],0.001,0.0005,0.7,uniform
100,logistic,logistic,4,[4],5e-05,0.001,0.1,
101,logistic,logistic,1,[4],0.0001,0.0001,0.1,
102,logistic,logistic,4,[4],0.0005,0.0005,0.7,uniform
103,logistic,logistic,4,[4],5e-05,0.0005,0.1,
104,logistic,logistic,4,[4],8e-05,0.0005,0.1,
105,logistic,logistic,1,[4],0.001,0.0001,0.1,
106,logistic,logistic,1,[4],5e-05,0.0001,0.7,uniform
107,logistic,logistic,4,[4],0.0005,0.0005,0.1,
108,logistic,logistic,4,[4],8e-05,0.0005,0.7,uniform
109,logistic,logistic,1,[4],8e-05,0.0001,0.7,uniform
110,logistic,logistic,1,[4],0.0001,0.0001,0.7,uniform
111,logistic,logistic,1,[4],0.0005,0.0001,0.7,uniform
112,logistic,logistic,4,[4],0.0001,0.0005,0.7,uniform
113,logistic,logistic,4,[4],5e-05,0.0005,0.7,uniform
114,logistic,logistic,1,[4],5e-05,0.0001,0.1,
115,logistic,logistic,4,[4],0.001,0.0005,0.1,
116,logistic,logistic,1,[4],0.001,0.0001,0.7,uniform
117,logistic,logistic,4,[4],0.0001,0.0005,0.1,
118,logistic,logistic,4,[4],8e-05,0.0001,0.7,uniform
119,logistic,logistic,1,[4],8e-05,0.0001,0.1,
120,logistic,logistic,4,[4],0.001,0.0001,0.7,uniform
121,logistic,logistic,4,[4],8e-05,0.0001,0.1,
122,logistic,logistic,4,[4],0.0001,0.0001,0.7,uniform
123,logistic,logistic,4,[4],5e-05,0.001,0.1,uniform
